track_name,isrc,language,publishing_company,arranger,producer,interpreter,date,duration,apple_itunes,http://goodmusic.online/medien_title/mini-minirock/,http://goodmusic.online/medien_title/hold-tight/,http://goodmusic.online/medien_title/mini-minirock/,http://goodmusic.online/medien_title/mini-minirock/,Juke,microsoft,musicload,napster,qobuz,spotify,tidal,vimeo,youtube,amazon_books,apple_books,google_play_books,music_notes,notafina,note_download,sheet_music_plus,music_image
Hold Tight,,,,,,,2017-03-09,,,http://goodmusic.online/medien_title/hold-tight/,http://goodmusic.online/medien_title/with-a-girl-like-you/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
With a Girl Like You,,,,,,,2017-03-10,,,http://goodmusic.online/medien_title/with-a-girl-like-you/,http://goodmusic.online/medien_title/bus-stop/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
Bus Stop,,,,,,,2017-03-11,,,http://goodmusic.online/medien_title/bus-stop/,http://goodmusic.online/medien_title/early-bird/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
Early Bird,,,,,,,2017-03-12,,,http://goodmusic.online/medien_title/early-bird/,http://goodmusic.online/medien_title/keep-on-running/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
Keep On Running,,,,,,,2017-03-13,,,http://goodmusic.online/medien_title/keep-on-running/,http://goodmusic.online/medien_title/keep-an-eye-on-summer/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
Keep an Eye On Summer,,,,,,,2017-03-14,,,http://goodmusic.online/medien_title/keep-an-eye-on-summer/,http://goodmusic.online/medien_title/hideaway/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
Hideaway,,,,,,,2017-03-15,,,http://goodmusic.online/medien_title/hideaway/,http://goodmusic.online/medien_title/super-girl/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
Super Girl,,,,,,,2017-03-16,,,http://goodmusic.online/medien_title/super-girl/,http://goodmusic.online/medien_title/wild-thing/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
Wild Thing,,,,,,,2017-03-17,,,http://goodmusic.online/medien_title/wild-thing/,http://goodmusic.online/medien_title/paperback-writer/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
Paperback Writer,,,,,,,2017-03-18,,,http://goodmusic.online/medien_title/paperback-writer/,http://goodmusic.online/medien_title/sunny-afternoon/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
Sunny Afternoon,,,,,,,2017-03-19,,,http://goodmusic.online/medien_title/sunny-afternoon/,http://goodmusic.online/medien_title/taxman/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
Taxman,,,,,,,2017-03-20,,,http://goodmusic.online/medien_title/taxman/,http://goodmusic.online/medien_title/the-girls-on-the-beach/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
The Girls On the Beach,,,,,,,2017-03-21,,,http://goodmusic.online/medien_title/the-girls-on-the-beach/,http://goodmusic.online/medien_title/god-only-knows/,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
God Only Knows,,,,,,,2017-03-22,,,http://goodmusic.online/medien_title/god-only-knows/,,,http://goodmusic.online/medien_title/mini-minirock/,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
